>scaffold1 Locus_75_0  7.7 LINEAR
>scaffold2 Locus_110_0  4.2 LINEAR
>scaffold3 Locus_170_0  4.6 LINEAR
>C1053  2.0
>C1055  2.0
>C1057  2.0
>C1059  2.0
>C1061  2.0
>C1063  2.0
>C1065  2.0
>C1067  3.0
>C1069  3.0
>C1071  2.0
>C1073  2.0
>C1075  2.0
>C1077  2.0
>C1079  2.0
>C1081  2.0
>C1083  2.0
>C1085  2.0
>C1087  2.0
>C1089  2.0
>C1091  2.0
>C1093  2.0
>C1095  2.0
>C1097  2.0
>C1099  2.0
>C1101  2.0
>C1103  2.0
>C1105  3.0
>C1107  2.0
>C1109  2.0
>C1111  2.0
>C1113  2.0
>C1115  2.0
>C1117  2.0
>C1119  2.0
>C1121  2.0
>C1123  2.0
>C1125  2.0
>C1127  2.0
>C1129  2.0
>C1131  2.0
>C1133  2.0
>C1135  2.0
>C1137  2.0
>C1139  2.0
>C1141  2.0
>C1143  2.0
>C1145  2.0
>C1147  2.0
>C1149  2.0
>C1151  2.0
>C1153  2.0
>C1155  2.0
>C1157  2.0
>C1159  2.0
>C1161  2.0
>C1163  2.0
>C1165  2.0
>C1167  2.0
>C1169  2.0
>C1171  2.0
>C1173  3.0
>C1175  3.0
>C1177  2.0
>C1179  2.0
>C1181  3.0
>C1183  2.0
>C1185  2.0
>C1187  2.0
>C1189  2.0
>C1191  2.0
>C1193  2.0
>C1195  2.0
>C1197  2.0
>C1199  2.0
>C1201  2.0
>C1203  2.0
>C1205  2.0
>C1207  2.0
>C1209  2.0
>C1211  2.0
>C1213  2.0
>C1215  2.0
>C1217  2.0
>C1219  2.0
>C1221  2.0
>C1223  2.0
>C1225  2.0
>C1227  2.0
>C1229  2.0
>C1231  2.0
>C1233  2.0
>C1235  2.0
>C1237  3.0
>C1239  2.0
>C1241  3.0
>C1243  2.0
>C1245  2.0
>C1247  2.0
>C1249  2.0
>C1251  2.0
>C1253  2.0
>C1255  2.0
>C1257  2.0
>C1259  2.0
>C1261  3.0
>C1263  3.0
>C1265  3.0
>C1267  2.0
>C1269  2.0
