cutoff,assembly_score
0.01,0.12468
0.05157,0.1257
0.06312,0.12664
0.06369,0.12752
0.20892,0.12807
0.23154,0.1285
0.24427,0.12774
0.27992,0.12801
0.30589,0.12839
0.30823,0.12845
0.32514,0.12881
0.33607,0.12916
0.36461,0.12907
0.38292,0.12928
0.38433,0.12933
0.38989,0.12921
0.39422,0.12861
0.39552,0.12889
0.39595,0.12845
0.39867,0.12865
0.41828,0.12875
0.42,0.12884
0.42017,0.12854
0.42906,0.12871
0.43569,0.12716
0.43835,0.12667
0.44294,0.12682
0.4432,0.1255
0.46722,0.12563
0.46747,0.12568
0.47648,0.12531
0.48499,0.12542
0.48798,0.12554
0.49087,0.12357
0.49719,0.12342
0.49806,0.12361
0.50266,0.12355
0.50289,0.12365
0.51017,0.12064
0.52226,0.12047
0.53178,0.11868
0.53567,0.11849
0.55494,0.11855
0.56874,0.11842
0.5748,0.11794
0.5752,0.11789
0.58034,0.11784
0.5876,0.11744
0.59248,0.11712
0.59572,0.11714
0.6009,0.1169
0.60584,0.11675
0.6107,0.11572
0.61443,0.11573
0.61695,0.11574
0.61774,0.11558
0.62076,0.11559
0.62414,0.11481
0.63499,0.11481
0.63667,0.1148
0.63957,0.1148
0.63971,0.11471
0.64064,0.11462
0.64124,0.11462
0.64383,0.11417
0.64638,0.11417
0.65127,0.11416
0.6538,0.11416
0.65419,0.11388
0.65423,0.11388
0.65476,0.11387
0.6549,0.11387
0.65609,0.11387
0.65693,0.11387
0.6572,0.11369
0.66535,0.11359
0.67264,0.11107
0.67911,0.11097
0.6819,0.11086
0.68269,0.11021
0.68945,0.11
0.69951,0.10952
0.70337,0.10795
0.70351,0.10746
0.70641,0.10733
0.71168,0.1072
0.71346,0.10707
0.71668,0.10675
0.71835,0.10644
0.71921,0.10621
0.72171,0.10571
0.72633,0.10557
0.72852,0.10552
0.7314,0.1052
0.73547,0.10506
0.73734,0.10482
0.73955,0.10468
0.74103,0.10398
0.74547,0.10337
0.74664,0.10304
0.75113,0.10224
0.75122,0.1019
0.75129,0.10175
0.75346,0.10058
0.75671,0.0995
0.75845,0.0986
0.75936,0.09835
0.76075,0.098
0.76425,0.09244
0.77401,0.09217
0.77447,0.092
0.77623,0.08864
0.77768,0.088
0.7791,0.08566
0.78231,0.0821
0.78874,0.06583
0.78937,0.06553
0.79442,0.06522
0.79703,0.06473
0.80243,0.06433
0.80552,0.06118
0.80707,0.06087
0.81249,0.05932
0.81983,0.05891
0.82452,0.05868
0.82719,0.05807
0.83459,0.05755
0.8363,0.05675
0.84114,0.05632
0.85048,0.05608
0.85166,0.05536
0.85691,0.05502
0.86142,0.05449
0.86201,0.05405
0.87156,0.05371
0.87565,0.05307
0.87693,0.05148
0.87742,0.05094
0.87962,0.05068
0.88652,0.05043
0.8934,0.04997
0.89416,0.04866
0.89733,0.0483
0.89875,0.04794
0.90158,0.04758
0.90365,0.04423
0.90398,0.04396
0.90592,0.04312
0.90656,0.04237
0.90809,0.03988
0.91476,0.03941
0.91807,0.03905
0.91927,0.03877
0.92173,0.0384
0.92568,0.03803
0.92655,0.03785
0.92878,0.03757
0.92915,0.0373
0.92931,0.03712
0.93146,0.03674
0.93219,0.03637
0.9328,0.03619
0.9333,0.03581
0.93332,0.03544
0.93446,0.03428
0.93633,0.034
0.93771,0.03382
0.93776,0.03354
0.93907,0.03297
0.93985,0.03259
0.94091,0.03202
0.94201,0.03164
0.94248,0.03136
0.9426,0.03108
0.94304,0.03089
0.94446,0.03032
0.94461,0.02945
0.94656,0.02926
0.94752,0.02888
0.94823,0.0285
0.95003,0.02812
0.95112,0.02774
0.95225,0.02736
0.95249,0.02707
0.95296,0.02649
0.95565,0.0263
0.95792,0.02602
0.95878,0.02563
0.95918,0.02515
0.95934,0.02486
0.95991,0.02467
0.96097,0.02429
0.96114,0.0238
0.96249,0.02332
0.96413,0.02303
0.96418,0.02264
0.9653,0.02186
0.96537,0.02138
0.9655,0.02118
0.96558,0.0205
0.96705,0.02021
0.96804,0.01943
0.96814,0.01904
0.96819,0.01865
0.96821,0.01827
0.96845,0.01788
0.96855,0.01709
0.96902,0.0169
0.96908,0.01661
0.9695,0.01632
0.96952,0.01603
0.97006,0.01564
0.97066,0.01535
0.97094,0.01515
0.97163,0.01486
0.97177,0.01447
0.9718,0.01428
0.97342,0.01408
0.97487,0.0136
0.97493,0.0134
0.97514,0.01321
0.97561,0.01291
0.97602,0.01232
0.97614,0.01154
0.97711,0.01095
0.97765,0.01075
0.97801,0.01056
0.97885,0.01007
0.98001,0.00977
0.98008,0.00948
0.98021,0.00918
0.98149,0.00879
0.982,0.0085
0.98243,0.0083
0.98279,0.0081
0.98323,0.00791
0.9833,0.00761
0.98372,0.00732
0.98373,0.00702
0.98383,0.00663
0.98399,0.00643
0.98409,0.00623
0.98455,0.00604
0.98494,0.00574
0.98509,0.00535
0.98551,0.00515
0.98592,0.00485
0.98685,0.00466
0.98687,0.00446
0.98699,0.00426
0.98855,0.00387
0.98895,0.00367
0.98931,0.00337
0.98934,0.00298
0.98942,0.00268
0.98945,0.00248
0.98986,0.00228
0.99019,0.00208
0.99057,0.00179
0.99193,0.00159
0.99206,0.00139
0.9923,0.00119
0.99284,0.00079
0.99323,0.0004
0.99388,0.0002
0.99457,0.0
