cutoff,assembly_score
0.01,0.08995
0.02406,0.09091
0.02542,0.09199
0.09506,0.09248
0.11384,0.09286
0.13795,0.09336
0.15889,0.09381
0.16371,0.09413
0.185,0.09454
0.20403,0.09491
0.21563,0.09527
0.21998,0.09543
0.24387,0.09575
0.28147,0.09602
0.28205,0.09629
0.28574,0.09655
0.28683,0.09669
0.2919,0.09676
0.29359,0.09702
0.29388,0.09729
0.29745,0.09749
0.30731,0.09775
0.32118,0.09799
0.32514,0.09823
0.33607,0.09847
0.33829,0.09863
0.33958,0.09886
0.34813,0.09888
0.3482,0.0991
0.36631,0.09889
0.37165,0.09903
0.37293,0.09923
0.37671,0.09908
0.38696,0.09885
0.39276,0.09904
0.39552,0.09923
0.4002,0.09941
0.40588,0.09938
0.41433,0.09941
0.41613,0.0993
0.41891,0.09904
0.4244,0.09914
0.42517,0.09931
0.42574,0.09948
0.43047,0.09813
0.43282,0.0983
0.43952,0.09838
0.44155,0.0984
0.44198,0.09718
0.44221,0.09734
0.44329,0.09742
0.44394,0.09751
0.4472,0.0976
0.45292,0.09776
0.45313,0.09792
0.45746,0.098
0.45945,0.09809
0.46131,0.09803
0.46874,0.09788
0.46965,0.09803
0.47216,0.09819
0.47474,0.09722
0.47559,0.09639
0.47563,0.09601
0.48139,0.09609
0.48278,0.09608
0.48668,0.09593
0.49285,0.09599
0.49327,0.09614
0.49398,0.09628
0.49806,0.09643
0.50031,0.09573
0.50145,0.09572
0.50621,0.09571
0.50881,0.0953
0.51058,0.09537
0.51449,0.09527
0.5163,0.09518
0.51853,0.095
0.52282,0.09459
0.5271,0.09465
0.53172,0.09446
0.53497,0.09451
0.53971,0.09369
0.55852,0.0919
0.56628,0.09184
0.56698,0.09171
0.56717,0.09165
0.5752,0.09159
0.57756,0.0916
0.57895,0.09162
0.58028,0.09148
0.58092,0.09109
0.58384,0.09095
0.59105,0.09096
0.59572,0.09097
0.59963,0.09097
0.59965,0.09082
0.60655,0.09066
0.60813,0.09058
0.61114,0.09034
0.61627,0.09018
0.61643,0.0901
0.61788,0.0901
0.62118,0.08993
0.63043,0.08968
0.63179,0.08967
0.63626,0.08669
0.63704,0.08659
0.63882,0.08649
0.63902,0.08623
0.63905,0.08589
0.63957,0.08587
0.63971,0.08578
0.64124,0.08577
0.64133,0.08576
0.64238,0.08559
0.64752,0.08516
0.64978,0.08498
0.65115,0.08497
0.65214,0.08488
0.6526,0.08487
0.65373,0.08486
0.65705,0.08435
0.66067,0.08434
0.66263,0.08407
0.67036,0.08388
0.67279,0.08361
0.6744,0.08342
0.67713,0.0828
0.68006,0.08252
0.68394,0.0825
0.6865,0.08239
0.68874,0.08229
0.68946,0.08218
0.69437,0.08207
0.69521,0.08161
0.69563,0.08141
0.69682,0.08096
0.69753,0.08032
0.70087,0.08004
0.70254,0.07878
0.70381,0.07867
0.70754,0.07618
0.71053,0.07606
0.71104,0.07576
0.71168,0.07565
0.7176,0.07553
0.71872,0.07496
0.72407,0.07484
0.72852,0.0748
0.7314,0.07449
0.73244,0.07437
0.73955,0.07424
0.74273,0.07374
0.74397,0.07361
0.74481,0.07149
0.74567,0.07118
0.74664,0.07086
0.74772,0.07073
0.74904,0.07051
0.75048,0.07028
0.75204,0.06997
0.75209,0.06893
0.75704,0.06861
0.76131,0.06838
0.76388,0.06289
0.76453,0.06265
0.76602,0.06232
0.77447,0.06217
0.77501,0.06165
0.78704,0.06111
0.78937,0.06086
0.79575,0.05779
0.79746,0.0564
0.79877,0.05548
0.80066,0.05521
0.81182,0.05409
0.81313,0.05344
0.81838,0.03705
0.82719,0.03645
0.83091,0.03594
0.84533,0.03543
0.84958,0.03224
0.85825,0.03181
0.8652,0.03147
0.86658,0.02778
0.8701,0.02714
0.87098,0.02545
0.87105,0.0252
0.88135,0.02273
0.89183,0.02237
0.89406,0.02201
0.90347,0.02174
0.90447,0.0209
0.91026,0.02063
0.9116,0.02026
0.9167,0.01979
0.92432,0.01864
0.92618,0.01827
0.92655,0.01809
0.92866,0.01781
0.93257,0.01753
0.93771,0.01735
0.94342,0.01707
0.94481,0.01669
0.94656,0.01651
0.94662,0.01612
0.94901,0.01535
0.95112,0.01497
0.95729,0.01439
0.95792,0.0141
0.95878,0.01372
0.96097,0.01333
0.96114,0.01285
0.96413,0.01256
0.9647,0.01217
0.96509,0.01139
0.96578,0.0111
0.96855,0.01081
0.96902,0.01062
0.96926,0.01013
0.9695,0.00984
0.97013,0.00925
0.97066,0.00896
0.97099,0.00877
0.97265,0.00798
0.97368,0.00739
0.97428,0.0072
0.97542,0.00691
0.97552,0.00661
0.97885,0.00612
0.97973,0.00583
0.98149,0.00544
0.98279,0.00524
0.9833,0.00494
0.98334,0.00455
0.98383,0.00415
0.98409,0.00396
0.98455,0.00376
0.98494,0.00347
0.98516,0.00317
0.98687,0.00297
0.98699,0.00277
0.98818,0.00248
0.98855,0.00208
0.98942,0.00179
0.98945,0.00159
0.99019,0.00139
0.99193,0.00119
0.99199,0.00099
0.99206,0.00079
0.9923,0.0006
0.99284,0.0004
0.99323,0.0002
0.99457,NaN
