cutoff,assembly_score
0.01,0.04409
0.26947,0.0447
0.30641,0.04454
0.32341,0.04434
0.34744,0.04332
0.34933,0.04352
0.35614,0.04385
0.36639,0.04424
0.36737,0.04413
0.38089,0.04406
0.40369,0.04444
0.43924,0.04474
0.4459,0.04499
0.4894,0.04501
0.50517,0.04509
0.55886,0.04367
0.57414,0.04317
0.58218,0.04207
0.58726,0.04185
0.61399,0.04151
0.61897,0.04132
0.63669,0.03974
0.64778,0.03783
0.648,0.0376
0.65476,0.03766
0.65947,0.03766
0.65969,0.03736
0.67256,0.03705
0.68351,0.03547
0.68679,0.03443
0.68935,0.03387
0.70225,0.03386
0.70254,0.02861
0.70589,0.0264
0.71507,0.02538
0.7203,0.02412
0.72434,0.0241
0.7327,0.0202
0.77592,0.02001
0.78149,0.01982
0.79164,0.01418
0.79348,0.0138
0.80356,0.00556
0.8036,0.00474
0.8183,0.00417
0.86803,0.00366
0.87765,0.00176
0.89769,0.00131
0.90582,0.00076
0.94722,0.00048
0.95241,NaN
