cutoff,assembly_score
0.01,0.05486
0.04238,0.055
0.06928,0.05538
0.07232,0.05556
0.07337,0.05594
0.08486,0.05628
0.08641,0.05663
0.10127,0.05695
0.11037,0.05715
0.11476,0.05744
0.12485,0.05767
0.19289,0.05785
0.19602,0.05798
0.22569,0.0566
0.22978,0.05674
0.23134,0.05688
0.23262,0.05701
0.23676,0.05715
0.23854,0.05729
0.23977,0.05732
0.26637,0.05733
0.26873,0.05744
0.27043,0.05755
0.27735,0.05766
0.27786,0.05777
0.28129,0.05787
0.28683,0.05792
0.28776,0.05787
0.28791,0.05797
0.28826,0.05808
0.28854,0.05818
0.29147,0.05829
0.29218,0.0584
0.29571,0.0585
0.29832,0.05855
0.29866,0.05866
0.30277,0.05876
0.30772,0.05886
0.31016,0.05896
0.31401,0.05906
0.31667,0.05894
0.31978,0.05903
0.32027,0.05913
0.32146,0.05923
0.32307,0.05933
0.32358,0.05942
0.32417,0.05994
0.32472,0.06005
0.32512,0.06016
0.3339,0.06014
0.33496,0.05996
0.3373,0.05989
0.33999,0.05994
0.34446,0.05998
0.34722,0.05973
0.34852,0.05977
0.35862,0.0598
0.36339,0.05978
0.36716,0.05975
0.36863,0.0596
0.37615,0.05968
0.37694,0.05976
0.37967,0.05972
0.38507,0.0598
0.39125,0.05987
0.39837,0.06001
0.4076,0.06001
0.41845,0.06001
0.41868,0.06007
0.41874,0.06013
0.42912,0.05976
0.44096,0.05969
0.44247,0.05817
0.44252,0.05815
0.44793,0.05813
0.44829,0.05817
0.44923,0.05809
0.44936,0.05807
0.44978,0.05811
0.45113,0.05815
0.45952,0.05819
0.45989,0.05847
0.45992,0.05851
0.4613,0.05843
0.46132,0.05811
0.46307,0.05815
0.46325,0.05814
0.46484,0.05818
0.4664,0.05823
0.46752,0.05822
0.46814,0.05814
0.46872,0.05813
0.46886,0.05823
0.46946,0.05822
0.4697,0.05833
0.47026,0.05838
0.47034,0.05844
0.47152,0.0585
0.47375,0.05849
0.47433,0.05849
0.47468,0.05849
0.47476,0.05848
0.47538,0.05855
0.47718,0.05861
0.47723,0.05836
0.47995,0.05863
0.48031,0.05863
0.48079,0.05871
0.48172,0.05865
0.48327,0.05853
0.48568,0.0586
0.48622,0.05868
0.48654,0.05876
0.48783,0.05884
0.488,0.05892
0.48941,0.059
0.49035,0.05936
0.49121,0.05965
0.49268,0.05948
0.49367,0.05952
0.49493,0.05962
0.49762,0.05938
0.49763,0.05915
0.4992,0.05919
0.49977,0.05923
0.50765,0.05905
0.50998,0.05867
0.51974,0.05856
0.52317,0.05858
0.52738,0.05826
0.52887,0.05821
0.53038,0.05816
0.5319,0.05791
0.54405,0.05785
0.54572,0.05772
0.54577,0.05767
0.54909,0.05762
0.55198,0.05756
0.55591,0.05758
0.55753,0.05752
0.56801,0.05702
0.56919,0.05689
0.57971,0.05667
0.58478,0.05652
0.59868,0.05643
0.60855,0.05611
0.609,0.05565
0.60918,0.05533
0.60984,0.05524
0.61296,0.0544
0.61304,0.05438
0.61593,0.05436
0.61797,0.05404
0.62158,0.05402
0.62642,0.05399
0.63014,0.05397
0.63331,0.05379
0.63529,0.05361
0.63712,0.05351
0.64223,0.05348
0.64383,0.05345
0.64724,0.05327
0.64963,0.05171
0.65075,0.05161
0.65081,0.05158
0.6548,0.05155
0.65558,0.05021
0.65567,0.04995
0.65756,0.04962
0.65912,0.04936
0.65961,0.04934
0.66082,0.04838
0.6648,0.04828
0.6678,0.04818
0.66808,0.04666
0.67268,0.04632
0.67558,0.04597
0.67617,0.04508
0.68661,0.0436
0.68916,0.04357
0.68943,0.04346
0.69228,0.04342
0.69987,0.04331
0.70085,0.04311
0.71611,0.04266
0.71686,0.04236
0.71695,0.04224
0.72772,0.0421
0.73005,0.04205
0.73331,0.04184
0.73343,0.04138
0.73395,0.03048
0.73505,0.03041
0.73544,0.02992
0.73659,0.02986
0.73764,0.02954
0.74173,0.02678
0.74177,0.02655
0.74486,0.02546
0.74937,0.02522
0.7613,0.02497
0.76739,0.02489
0.77091,0.02455
0.77551,0.02421
0.77885,0.02014
0.7838,0.01987
0.78529,0.01934
0.78694,0.01854
0.7977,0.01792
0.80519,0.01781
0.81908,0.01539
0.83386,0.01526
0.83413,0.01514
0.83537,0.01501
0.83628,0.00704
0.84653,0.00671
0.85935,0.00655
0.86453,0.00639
0.86585,0.00348
0.86752,0.00276
0.87113,0.00259
0.87794,0.00242
0.89345,0.00215
0.8976,0.00179
0.90741,0.00142
0.91553,0.00123
0.92282,0.00105
0.94683,0.00086
0.94692,0.00067
0.94957,0.00048
0.96106,0.00029
0.96934,NaN
