name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
Macmini1_rcorrtest_DN120_c0_g1_i1,0.985714,0,204,2,2,2,2,0,0.969499
Macmini1_rcorrtest_DN169_c0_g1_i1,1,0,211,2,2,2,2,0,0.988547
Macmini1_rcorrtest_DN132_c0_g1_i1,0.989286,0,213,4,4,4,3,0,0.909204
Macmini1_rcorrtest_DN108_c0_g1_i1,0.996429,0,311,4,4,4,4,0,0.792202
Macmini1_rcorrtest_DN188_c0_g1_i1,0.95,0,217,4,4,4,4,0,0.941951
Macmini1_rcorrtest_DN187_c0_g1_i1,0.991837,0,474,8,6,6,6,0,0.711777
Macmini1_rcorrtest_DN114_c0_g1_i1,1,0,208,2,2,2,2,0,0.970936
Macmini1_rcorrtest_DN100_c0_g1_i1,0.775,0,515,18,12,12,12,0,0.936975
Macmini1_rcorrtest_DN159_c0_g1_i1,0.92381,0,229,3,2,2,2,0,0.901054
Macmini1_rcorrtest_DN167_c0_g1_i1,0.951429,0,298,5,5,5,5,0,0.936194
Macmini1_rcorrtest_DN140_c0_g1_i1,0.971429,0,237,6,6,6,5,0,0.93517
Macmini1_rcorrtest_DN151_c0_g1_i1,0.758242,0,302,6,5,5,5,0,0.952836
Macmini1_rcorrtest_DN180_c0_g1_i1,1,0,226,4,3,3,3,0,0.85294
Macmini1_rcorrtest_DN107_c0_g1_i1,0.991429,0,322,5,5,5,5,0,0.969448
Macmini1_rcorrtest_DN128_c0_g1_i1,0.971429,0,468,6,5,5,5,0,0.98859
Macmini1_rcorrtest_DN115_c0_g1_i1,1,0,215,2,2,2,2,0,0.993225
Macmini1_rcorrtest_DN179_c0_g1_i1,0.934694,0,235,7,7,7,6,0,0.552479
Macmini1_rcorrtest_DN199_c0_g1_i1,0.975,0,272,4,4,4,4,0,0.989439
Macmini1_rcorrtest_DN129_c0_g1_i1,1,0,224,2,2,2,2,0,0.983227
Macmini1_rcorrtest_DN172_c0_g1_i1,0.984556,0,955,19,18,18,17,0,0.993918
Macmini1_rcorrtest_DN123_c0_g1_i1,1,0,228,2,2,2,2,0,0.994569
Macmini1_rcorrtest_DN149_c0_g1_i1,0.995238,0,264,3,3,3,3,0,0.971679
Macmini1_rcorrtest_DN150_c0_g1_i1,0.994643,0,429,8,8,8,8,0,0.970284
