contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage
Macmini2_rcorrtest_DN120_c0_g1_i1,225,0.644444,-0.103448,-0.2,37,1.600962,72,0.050049,0,1.0,1.0,0.971429,0.959364,0.98758,225,3.00611,2370.52,22.75
Macmini2_rcorrtest_DN169_c0_g1_i1,298,0.479866,0.132867,0.174194,26,1.542812,37,0.063477,0,1.0,0.895973,0.980952,0.873006,0.993286,298,3.00611,1789.82,17.18
Macmini2_rcorrtest_DN132_c0_g1_i1,204,0.583333,0.109244,0.152941,33,1.924528,68,0.046387,0,0.75,1.0,0.995918,0.7261,0.972102,204,4.00482,3483.16,33.43
Macmini2_rcorrtest_DN108_c0_g1_i1,203,0.448276,0.208791,0.214286,22,2.255556,67,0.045166,0,1.0,1.0,0.985714,0.968484,0.98252,203,2.0074,1754.53,16.84
Macmini2_rcorrtest_DN188_c0_g1_i1,206,0.509709,0.352381,0.663366,6,0.512013,68,0.028809,0,0.666667,1.0,0.868571,0.561273,0.969305,206,3.00611,2589.16,24.85
Macmini2_rcorrtest_DN187_c0_g1_i1,201,0.457711,-0.065217,0.119266,23,2.194115,32,0.046631,0,1.0,1.0,0.971429,0.958655,0.98685,201,2.0074,1771.98,17.01
Macmini2_rcorrtest_DN114_c0_g1_i1,215,0.404651,-0.287356,0.09375,22,2.724654,71,0.048584,0,0.666667,1.0,0.845714,0.547912,0.971804,215,3.00611,2480.78,23.81
Macmini2_rcorrtest_DN100_c0_g1_i1,243,0.485597,0.050847,0.184,32,2.239631,80,0.054688,0,0.5,1.0,0.865306,0.382563,0.884227,243,4.00482,2924.14,28.07
Macmini2_rcorrtest_DN159_c0_g1_i1,275,0.592727,-0.030675,0.285714,47,1.947709,83,0.057373,0,1.0,1.0,0.961905,0.946623,0.984113,275,3.00611,1939.52,18.62
Macmini2_rcorrtest_DN167_c0_g1_i1,203,0.591133,0.033333,0.084337,33,1.862903,67,0.047119,0,1.0,1.0,0.971429,0.944661,0.972445,203,2.0074,1754.53,16.84
Macmini2_rcorrtest_DN140_c0_g1_i1,264,0.545455,-0.027778,0.25,36,1.834749,88,0.061279,0,1.0,1.0,0.997143,0.954606,0.957341,264,5.00353,3362.74,32.28
Macmini2_rcorrtest_DN151_c0_g1_i1,435,0.622989,-0.084871,0.012195,83,1.980744,145,0.09375,0,1.0,1.0,0.991837,0.945528,0.95331,435,7.00094,2855.54,27.41
Macmini2_rcorrtest_DN180_c0_g1_i1,206,0.504854,0.153846,-0.039216,31,2.418939,49,0.047852,0,0.75,1.0,1,0.697115,0.929486,206,4.00482,3449.35,33.11
Macmini2_rcorrtest_DN107_c0_g1_i1,224,0.433036,0.010309,0.212598,19,1.809524,74,0.050537,0,1.0,1.0,1,0.985059,0.985059,224,2.0074,1590.04,15.26
Macmini2_rcorrtest_DN128_c0_g1_i1,212,0.660377,0.028571,0.416667,52,2.251634,70,0.045654,0,1.0,1.0,0.961905,0.956007,0.993868,212,3.00611,2515.88,24.15
Macmini2_rcorrtest_DN115_c0_g1_i1,410,0.436585,0.162011,0.142857,41,2.155128,54,0.088135,0,0.777778,1.0,0.992857,0.747369,0.967816,410,8.99836,3894.04,37.38
Macmini2_rcorrtest_DN179_c0_g1_i1,209,0.502392,-0.219048,0.173077,21,1.672637,56,0.046875,0,1.0,1.0,0.980952,0.951924,0.970408,209,3.00611,2552.0,24.49
Macmini2_rcorrtest_DN199_c0_g1_i1,281,0.451957,0.149606,0.051948,31,2.209792,37,0.0625,0,0.857143,1.0,0.989011,0.679275,0.801293,281,7.00094,4420.5,42.43
Macmini2_rcorrtest_DN129_c0_g1_i1,271,0.527675,-0.006993,0.34375,32,1.696401,54,0.061523,0,0.666667,1.0,0.971429,0.638694,0.986218,271,3.00611,1968.14,18.89
Macmini2_rcorrtest_DN172_c0_g1_i1,430,0.418605,0.4,0.192,36,2.275132,97,0.090088,0,1.0,1.0,0.962857,0.951654,0.988365,430,5.00353,2064.57,19.82
Macmini2_rcorrtest_DN123_c0_g1_i1,313,0.58147,0.076923,-0.145038,53,2.015185,74,0.072998,0,0.833333,1.0,0.995238,0.784267,0.945623,313,6.00224,3402.44,32.66
Macmini2_rcorrtest_DN149_c0_g1_i1,221,0.588235,0.169231,0.098901,43,2.315546,73,0.047363,0,1.0,1.0,0.990476,0.921742,0.930605,221,3.00611,2413.43,23.16
Macmini2_rcorrtest_DN150_c0_g1_i1,239,0.631799,-0.125828,0.340909,55,2.343137,79,0.047852,0,0.166667,1.0,0.365079,0.01,0.05799,239,10.9064,8096.61,77.71
Macmini2_rcorrtest_DN133_c0_g1_i1,223,0.587444,-0.099237,-0.478261,43,2.257298,74,0.046143,0,0.666667,1.0,0.952381,0.630443,0.992948,223,3.00611,2391.78,22.96
Macmini2_rcorrtest_DN110_c0_g1_i1,205,0.439024,-0.244444,0.078261,21,2.261029,28,0.047119,0,1.0,1.0,0.960714,0.925893,0.963755,205,4.00482,3466.17,33.27
