name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
Macmini1_20170608_DN120_c0_g1_i1,1,0,212,2,2,2,2,0,0.991931
Macmini1_20170608_DN169_c0_g1_i1,0.952381,0,209,5,4,4,4,0,0.91301
Macmini1_20170608_DN132_c0_g1_i1,0.975,0,271,4,4,4,4,0,0.989439
Macmini1_20170608_DN108_c0_g1_i1,0.993277,0,373,9,8,8,8,17,0.964937
Macmini1_20170608_DN188_c0_g1_i1,0.945055,0,331,7,5,5,5,21,0.96667
Macmini1_20170608_DN187_c0_g1_i1,1,0,221,3,3,3,3,0,0.970661
Macmini1_20170608_DN114_c0_g1_i1,0.969458,0,820,15,14,14,13,17,0.986676
Macmini1_20170608_DN100_c0_g1_i1,0.995238,0,288,3,3,3,3,0,0.973181
Macmini1_20170608_DN159_c0_g1_i1,0.854945,0,341,8,5,4,4,47,0.944595
Macmini1_20170608_DN167_c0_g1_i1,0.989286,0,233,4,4,4,4,0,0.955047
Macmini1_20170608_DN140_c0_g1_i1,0.988571,0,377,5,5,5,5,40,0.971218
Macmini1_20170608_DN151_c0_g1_i1,0.985714,0,287,3,3,3,2,0,0.973256
Macmini1_20170608_DN180_c0_g1_i1,1,0,206,2,1,1,1,65,0.938472
Macmini1_20170608_DN107_c0_g1_i1,0.9625,0,484,8,7,7,7,53,0.990352
Macmini1_20170608_DN128_c0_g1_i1,1,0,243,3,2,2,2,24,0.983741
Macmini1_20170608_DN115_c0_g1_i1,1,0,210,2,2,2,2,0,0.984087
Macmini1_20170608_DN179_c0_g1_i1,0.971429,0,255,4,4,4,4,0,0.890646
Macmini1_20170608_DN199_c0_g1_i1,0.984874,1,242,9,9,8,7,0,0.907565
Macmini1_20170608_DN129_c0_g1_i1,1,0,269,5,5,5,5,37,0.768308
Macmini1_20170608_DN172_c0_g1_i1,0.990476,1,332,5,5,4,4,0,0.960786
Macmini1_20170608_DN123_c0_g1_i1,0.986667,0,536,8,7,7,7,0,0.95814
Macmini1_20170608_DN149_c0_g1_i1,0.998214,0,491,8,8,8,8,0,0.950712
Macmini1_20170608_DN150_c0_g1_i1,0.995238,0,242,3,3,3,3,0,0.992912
Macmini1_20170608_DN133_c0_g1_i1,1,0,203,2,2,2,2,0,0.99284
Macmini1_20170608_DN110_c0_g1_i1,0.97551,0,219,4,3,3,3,19,0.953425
Macmini1_20170608_DN165_c0_g1_i1,0.925714,0,231,6,4,4,4,5,0.966973
Macmini1_20170608_DN186_c0_g1_i1,0.977143,0,306,3,2,2,2,73,0.993602
Macmini1_20170608_DN152_c0_g1_i1,0.97551,0,240,4,3,3,3,8,0.970675
Macmini1_20170608_DN184_c0_g1_i1,0.995918,0,351,4,3,3,3,24,0.990795
Macmini1_20170608_DN117_c0_g1_i1,0.931868,1,234,8,6,5,4,0,0.972113
Macmini1_20170608_DN195_c0_g1_i1,0.919184,0,506,19,16,15,13,22,0.897165
Macmini1_20170608_DN154_c0_g1_i1,0.917857,0,233,4,4,4,2,0,0.957699
Macmini1_20170608_DN197_c0_g1_i1,0.971429,0,216,2,2,2,2,70,0.993887
Macmini1_20170608_DN141_c0_g1_i1,0.988571,0,239,3,2,2,2,0,0.973118
Macmini1_20170608_DN147_c0_g1_i1,0.990476,0,397,6,6,6,6,0,0.983046
Macmini1_20170608_DN144_c0_g1_i1,0.996429,0,422,8,8,8,8,0,0.97614
Macmini1_20170608_DN125_c0_g1_i1,0.994286,0,272,3,2,2,2,33,0.994016
Macmini1_20170608_DN145_c0_g1_i1,0.965714,1,285,6,5,4,4,1,0.88376
Macmini1_20170608_DN109_c0_g1_i1,1,0,221,2,2,1,1,0,0.996123
Macmini1_20170608_DN196_c0_g1_i1,0.965714,0,320,5,5,5,4,0,0.971409
Macmini1_20170608_DN193_c0_g1_i1,0.985714,0,215,2,2,2,2,0,0.985064
Macmini1_20170608_DN168_c0_g1_i1,1,0,301,6,5,5,5,0,0.877682
Macmini1_20170608_DN146_c0_g1_i1,0.992857,0,212,2,2,2,2,0,0.975993
Macmini1_20170608_DN121_c0_g1_i1,1,0,212,4,2,2,2,15,0.984576
Macmini1_20170608_DN148_c0_g1_i1,1,0,203,2,1,1,1,1,0.992856
Macmini1_20170608_DN171_c0_g1_i1,1,0,214,3,2,2,2,0,0.991009
Macmini1_20170608_DN124_c0_g1_i1,0.942857,0,216,4,3,3,3,24,0.980686
Macmini1_20170608_DN111_c0_g1_i1,0.946032,0,295,5,4,4,4,49,0.919457
Macmini1_20170608_DN104_c0_g1_i1,0.92381,0,216,3,3,3,2,0,0.967272
Macmini1_20170608_DN113_c0_g1_i1,1,0,225,2,1,1,1,25,0.994978
Macmini1_20170608_DN158_c0_g1_i1,0.951648,0,349,7,6,6,4,52,0.87705
Macmini1_20170608_DN185_c0_g1_i1,0.985714,0,203,2,2,2,1,0,0.681873
Macmini1_20170608_DN116_c0_g1_i1,0.921429,0,222,4,4,4,4,0,0.967882
Macmini1_20170608_DN106_c0_g1_i1,1,0,216,2,1,1,1,28,0.994569
Macmini1_20170608_DN182_c0_g1_i1,1,0,294,5,3,3,3,0,0.958669
Macmini1_20170608_DN126_c0_g1_i1,0.988571,0,301,5,5,5,5,0,0.980469
Macmini1_20170608_DN166_c0_g1_i1,0.489524,0,257,6,3,3,3,0,0.380892
Macmini1_20170608_DN166_c1_g1_i1,0.990476,0,230,3,3,3,3,14,0.97128
Macmini1_20170608_DN143_c0_g1_i1,0.987755,0,562,43,41,41,39,0,0.967309
Macmini1_20170608_DN127_c0_g1_i1,1,0,205,2,1,1,1,41,0.932329
Macmini1_20170608_DN119_c0_g1_i1,0.979221,0,342,6,5,5,5,0,0.914982
Macmini1_20170608_DN131_c0_g1_i1,0.868571,0,249,5,5,5,4,0,0.924472
Macmini1_20170608_DN103_c0_g1_i1,1,0,253,4,4,4,4,23,0.941141
Macmini1_20170608_DN142_c0_g1_i1,0.994286,0,334,8,7,7,7,28,0.987425
Macmini1_20170608_DN177_c0_g1_i1,1,0,213,3,2,2,2,43,0.990641
Macmini1_20170608_DN162_c0_g1_i1,0.892857,0,206,4,4,4,4,0,0.896742
Macmini1_20170608_DN138_c0_g1_i1,0.990476,0,204,2,1,1,1,16,0.99284
Macmini1_20170608_DN101_c0_g1_i1,0.983673,0,273,4,3,3,3,14,0.992068
Macmini1_20170608_DN189_c0_g1_i1,0.971429,0,202,3,3,3,3,0,0.955971
Macmini1_20170608_DN137_c0_g1_i1,0.992857,0,230,2,2,2,2,60,0.931993
Macmini1_20170608_DN190_c0_g1_i1,0.978571,0,221,4,4,4,4,0,0.91364
Macmini1_20170608_DN135_c0_g1_i1,0.919643,0,337,8,8,8,7,0,0.480881
Macmini1_20170608_DN161_c0_g1_i1,0.989011,0,437,6,6,6,6,0,0.967923
Macmini1_20170608_DN134_c0_g1_i1,0.965714,0,213,3,2,2,2,64,0.992975
Macmini1_20170608_DN112_c0_g1_i1,1,0,211,2,2,2,2,0,0.988547
Macmini1_20170608_DN183_c0_g1_i1,0.990476,0,212,3,3,3,3,0,0.952493
Macmini1_20170608_DN130_c0_g1_i1,0.967857,0,247,4,4,4,3,0,0.969577
Macmini1_20170608_DN194_c0_g1_i1,0.988889,0,406,9,9,9,9,0,0.914631
Macmini1_20170608_DN156_c0_g1_i1,0.991837,0,264,4,3,3,3,0,0.955175
Macmini1_20170608_DN198_c0_g1_i1,0.993651,0,327,5,4,4,4,18,0.892435
Macmini1_20170608_DN173_c0_g1_i1,0.961905,0,273,3,3,3,3,0,0.969499
Macmini1_20170608_DN176_c0_g1_i1,1,0,225,2,2,2,2,0,0.992301
Macmini1_20170608_DN170_c0_g1_i1,0.961224,0,330,7,7,7,7,0,0.905203
Macmini1_20170608_DN191_c0_g1_i1,0.92381,0,263,6,5,5,5,9,0.942668
Macmini1_20170608_DN105_c0_g1_i1,1,0,204,2,2,2,2,0,0.989454
Macmini1_20170608_DN139_c0_g1_i1,0.990476,0,210,3,3,3,3,0,0.9849
Macmini1_20170608_DN178_c0_g1_i1,0.995238,0,232,3,3,3,3,0,0.751293
Macmini1_20170608_DN157_c0_g1_i1,1,0,216,2,1,1,1,11,0.994997
Macmini1_20170608_DN136_c0_g1_i1,0.961905,0,208,3,3,3,3,0,0.94631
Macmini1_20170608_DN174_c0_g1_i1,0.970068,0,595,11,10,10,8,0,0.741056
Macmini1_20170608_DN102_c0_g1_i1,1,0,229,3,1,1,1,26,0.994569
Macmini1_20170608_DN164_c0_g1_i1,0.985714,0,236,2,2,2,2,8,0.993974
Macmini1_20170608_DN155_c0_g1_i1,0.984416,0,303,6,5,5,5,37,0.934208
Macmini1_20170608_DN175_c0_g1_i1,1,0,207,2,1,1,1,41,0.979538
Macmini1_20170608_DN192_c0_g1_i1,0.965714,0,239,3,2,2,2,32,0.796151
Macmini1_20170608_DN163_c0_g1_i1,0.948571,0,295,3,2,2,2,12,0.988421
Macmini1_20170608_DN118_c0_g1_i1,0.983673,0,403,4,3,3,3,50,0.988547
Macmini1_20170608_DN181_c0_g1_i1,0.967857,0,264,4,4,4,4,0,0.956936
Macmini1_20170608_DN160_c0_g1_i1,0.956044,0,408,20,20,19,16,0,0.918549
Macmini1_20170608_DN122_c0_g1_i1,1,0,216,2,2,2,2,0,0.990189
Macmini1_20170608_DN153_c0_g1_i1,0.980952,0,224,3,3,3,3,0,0.984538
Macmini1_20170608_DN98_c0_g1_i1,0.982857,0,245,4,1,1,1,28,0.990797
Macmini1_20170608_DN39_c0_g1_i1,0.984962,0,442,10,9,9,8,18,0.950833
Macmini1_20170608_DN10_c0_g1_i1,0.965714,3,567,9,9,9,6,22,0.991307
Macmini1_20170608_DN10_c0_g2_i1,0.961429,0,567,9,9,8,7,20,0.979168
Macmini1_20170608_DN47_c0_g1_i1,0.709524,0,221,4,1,1,1,11,0.952655
Macmini1_20170608_DN92_c0_g1_i1,1,0,220,2,1,1,1,32,0.995084
Macmini1_20170608_DN68_c0_g1_i1,0.387097,0,228,16,5,4,5,0,0.0354629
Macmini1_20170608_DN34_c0_g1_i1,0.983501,0,915,36,35,35,34,25,0.940336
Macmini1_20170608_DN76_c0_g1_i1,0.995918,0,339,4,3,3,3,0,0.990104
Macmini1_20170608_DN73_c0_g1_i1,0.981818,0,246,6,5,5,5,0,0.869051
Macmini1_20170608_DN89_c0_g1_i1,0.979592,0,348,4,3,3,3,75,0.984057
Macmini1_20170608_DN79_c0_g1_i1,1,0,387,4,4,3,3,0,0.991954
