contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage
Macmini2_20170608_DN120_c0_g1_i1,217,0.608295,0.136364,-0.223529,41,2.08117,72,0.04834,0,0.25,1.0,0.947619,0.234413,0.98948,217,4.00493,3352.96,31.43
Macmini2_20170608_DN169_c0_g1_i1,240,0.633333,-0.026316,-0.204545,49,2.037422,80,0.052734,0,0.666667,1.0,1,0.660077,0.990115,240,3.0062,2275.61,21.33
Macmini2_20170608_DN132_c0_g1_i1,278,0.589928,0.04878,-0.035088,32,1.326178,92,0.063477,0,0.75,1.0,0.991837,0.73519,0.988321,278,4.00493,2617.24,24.53
Macmini2_20170608_DN108_c0_g1_i1,265,0.592453,-0.019108,0.148148,40,1.720779,88,0.05957,0,1.0,1.0,1,0.869929,0.869929,265,5.00367,3430.33,32.16
Macmini2_20170608_DN188_c0_g1_i1,348,0.436782,-0.105263,0.030612,36,2.193277,38,0.07959,0,1.0,1.0,0.964286,0.922526,0.956693,348,6.00241,3133.57,29.37
Macmini2_20170608_DN187_c0_g1_i1,258,0.399225,-0.029126,-0.096774,16,1.557736,65,0.056641,0,1.0,0.841085,0.980952,0.811587,0.983665,258,3.64821,2568.93,24.08
Macmini2_20170608_DN114_c0_g1_i1,294,0.581633,0.02924,0.00813,46,1.851588,98,0.067871,0,0.75,0.94898,0.979592,0.667248,0.957026,294,4.00493,2474.8,23.2
Macmini2_20170608_DN100_c0_g1_i1,220,0.586364,0.162791,0.098901,43,2.335802,73,0.047119,0,1.0,1.0,0.990476,0.921742,0.930605,220,3.0062,2482.49,23.27
Macmini2_20170608_DN159_c0_g1_i1,274,0.266423,0.506849,-0.20398,5,1.383838,35,0.054443,0,1.0,1.0,0.985714,0.957274,0.971148,274,4.00493,2655.44,24.89
Macmini2_20170608_DN167_c0_g1_i1,211,0.421801,-0.191011,0.04918,15,1.658805,70,0.047607,0,1.0,1.0,1,0.992237,0.992237,211,2.00746,1728.45,16.2
Macmini2_20170608_DN140_c0_g1_i1,323,0.529412,0.099415,-0.078947,35,1.561896,107,0.072998,0,0.6,0.820433,0.989286,0.483116,0.992054,323,5.00367,2814.35,26.38
Macmini2_20170608_DN151_c0_g1_i1,487,0.326489,0.484277,-0.109756,19,1.912567,39,0.098877,0,0.736842,1.0,0.972973,0.678023,0.945735,487,18.986,7082.66,66.39
Macmini2_20170608_DN180_c0_g1_i1,308,0.516234,-0.194969,-0.194631,43,2.178289,91,0.069092,0,0.6,0.909091,0.925,0.495462,0.981997,308,5.00367,2951.42,27.67
Macmini2_20170608_DN107_c0_g1_i1,275,0.592727,-0.030675,0.285714,47,1.947709,83,0.057373,0,1.0,1.0,0.961905,0.946623,0.984113,275,3.0062,1985.99,18.62
Macmini2_20170608_DN128_c0_g1_i1,370,0.578378,-0.037383,0.076923,62,2.006472,123,0.08252,0,0.8,1.0,0.974603,0.765524,0.981841,370,5.00367,2456.85,23.03
Macmini2_20170608_DN115_c0_g1_i1,282,0.56383,-0.056604,-0.089431,56,2.506667,93,0.062988,0,0.75,0.794326,0.955102,0.560331,0.984769,282,4.00493,2580.11,24.19
Macmini2_20170608_DN179_c0_g1_i1,211,0.635071,0.0,0.246753,48,2.256182,70,0.043945,0,1.0,1.0,1,0.975057,0.975057,211,2.55272,2197.93,20.6
Macmini2_20170608_DN199_c0_g1_i1,213,0.56338,-0.1,0.139785,23,1.374579,70,0.046875,0,1.0,1.0,0.992857,0.982386,0.989454,213,2.00746,1712.22,16.05
Macmini2_20170608_DN129_c0_g1_i1,214,0.588785,0.031746,0.136364,40,2.15889,71,0.047852,0,1.0,1.0,1,0.975993,0.975993,214,2.00746,1704.22,15.98
Macmini2_20170608_DN172_c0_g1_i1,807,0.490706,0.015152,-0.192214,103,2.120704,269,0.162842,0,0.846154,0.959108,0.97423,0.742072,0.938572,807,25.9771,5848.04,54.82
Macmini2_20170608_DN123_c0_g1_i1,261,0.490421,-0.09375,-0.097744,36,2.314286,86,0.061279,0,0.666667,0.965517,0.994286,0.634282,0.991066,261,3.0062,2092.52,19.62
Macmini2_20170608_DN149_c0_g1_i1,247,0.275304,-0.529412,0.284916,5,1.484375,17,0.045898,0,0.857143,0.983806,0.979592,0.426441,0.51624,247,7.57128,5568.84,52.2
Macmini2_20170608_DN150_c0_g1_i1,259,0.474903,0.154472,0.352941,22,1.543337,86,0.05249,0,0.666667,1.0,1,0.661833,0.99275,259,3.0062,2108.68,19.77
Macmini2_20170608_DN133_c0_g1_i1,219,0.488584,0.046729,-0.017857,26,1.993697,72,0.051025,0,0.5,0.86758,1,0.431434,0.994569,219,2.00746,1665.31,15.61
Macmini2_20170608_DN110_c0_g1_i1,385,0.303896,-0.299145,0.291045,16,1.976893,44,0.074707,0,0.857143,0.94026,0.98022,0.59062,0.747625,385,7.00115,3303.7,30.97
Macmini2_20170608_DN165_c0_g1_i1,239,0.543933,0.015385,-0.229358,33,1.867188,79,0.05249,0,0.75,0.866109,1,0.619967,0.95441,239,4.00493,3044.32,28.54
Macmini2_20170608_DN186_c0_g1_i1,205,0.439024,-0.244444,0.078261,21,2.261029,28,0.047119,0,1.0,1.0,0.960714,0.925893,0.963755,205,4.00493,3549.23,33.27
Macmini2_20170608_DN152_c0_g1_i1,547,0.521024,-0.136842,-0.038168,66,1.811804,41,0.123291,0,0.714286,0.952468,0.991209,0.667176,0.989356,547,7.00115,2325.27,21.8
Macmini2_20170608_DN184_c0_g1_i1,201,0.447761,0.2,0.225225,22,2.274691,66,0.044678,0,0.5,0.880597,0.980952,0.428951,0.993146,201,2.00746,1814.44,17.01
Macmini2_20170608_DN117_c0_g1_i1,428,0.415888,-0.404494,-0.192,35,2.261132,97,0.0896,0,1.0,1.0,0.962857,0.953593,0.990379,428,5.00367,2123.92,19.91
Macmini2_20170608_DN195_c0_g1_i1,222,0.63964,-0.112676,-0.2,35,1.561181,72,0.049316,0,0.666667,0.752252,0.965714,0.480649,0.992447,222,3.0062,2460.12,23.06
Macmini2_20170608_DN154_c0_g1_i1,203,0.546798,0.171171,-0.173913,24,1.629431,67,0.045898,0,1.0,1.0,1,0.991986,0.991986,203,2.00746,1796.57,16.84
Macmini2_20170608_DN197_c0_g1_i1,209,0.483254,-0.029703,-0.092593,25,2.050628,69,0.047607,0,0.0,0.784689,0.990476,0.01,0.67927,209,3.0062,2613.15,24.5
Macmini2_20170608_DN147_c0_g1_i1,248,0.520161,0.007752,0.042017,34,2.026923,68,0.056885,0,0.8,0.947581,0.990476,0.742475,0.988853,248,5.00367,3665.47,34.36
Macmini2_20170608_DN144_c0_g1_i1,235,0.497872,-0.094017,0.220339,25,1.732017,77,0.052979,0,1.0,1.0,1,0.968076,0.968076,235,4.00493,3096.14,29.02
Macmini2_20170608_DN125_c0_g1_i1,223,0.587444,-0.099237,-0.478261,43,2.257298,74,0.046143,0,0.666667,1.0,0.952381,0.630443,0.992948,223,3.0062,2449.09,22.96
Macmini2_20170608_DN145_c0_g1_i1,476,0.634454,0.059603,-0.195402,93,1.948415,158,0.099854,0,0.875,0.932773,0.988571,0.779686,0.966335,476,7.99988,3053.3,28.62
Macmini2_20170608_DN109_c0_g1_i1,305,0.583607,0.089888,-0.055118,59,2.290314,101,0.067871,0,0.666667,0.921311,1,0.604434,0.984087,305,3.0062,1790.65,16.79
Macmini2_20170608_DN196_c0_g1_i1,227,0.528634,-0.016667,-0.009346,27,1.702973,75,0.052002,0,0.666667,0.969163,0.988571,0.627492,0.982414,227,3.0062,2405.94,22.55
Macmini2_20170608_DN193_c0_g1_i1,293,0.627986,0.141304,0.376147,64,2.260639,97,0.059326,0,1.0,1.0,0.990476,0.975852,0.985235,293,3.0062,1863.98,17.47
Macmini2_20170608_DN168_c0_g1_i1,300,0.723333,-0.013825,-0.012048,84,2.141037,99,0.060791,0,1.0,1.0,0.982143,0.962787,0.980292,300,4.00493,2425.31,22.73
Macmini2_20170608_DN146_c0_g1_i1,252,0.583333,0.088435,0.028571,47,2.209701,39,0.054199,0,1.0,1.0,0.990476,0.953378,0.962545,252,6.00241,4327.3,40.56
Macmini2_20170608_DN121_c0_g1_i1,206,0.368932,-0.078947,0.015385,15,2.15331,35,0.046631,0,1.0,1.0,0.985714,0.959153,0.973054,206,2.00746,1770.4,16.6
Macmini2_20170608_DN148_c0_g1_i1,416,0.612981,0.07451,-0.068323,90,2.315972,138,0.089844,0,1.0,1.0,0.997143,0.97569,0.978486,416,5.00367,2185.18,20.48
Macmini2_20170608_DN171_c0_g1_i1,313,0.460064,-0.152778,-0.313609,27,1.669168,100,0.067139,0,0.75,1.0,0.946939,0.698404,0.983385,313,4.00493,2324.57,21.79
Macmini2_20170608_DN124_c0_g1_i1,203,0.581281,0.101695,0.152941,33,1.944557,67,0.046143,0,0.75,1.0,0.995918,0.7261,0.972102,203,4.00493,3584.2,33.6
Macmini2_20170608_DN111_c0_g1_i1,304,0.5625,0.28655,0.082707,49,2.21997,64,0.069824,0,1.0,1.0,0.989286,0.938145,0.948305,304,7.99988,4780.82,44.82
Macmini2_20170608_DN104_c0_g1_i1,290,0.57931,-0.27381,-0.114754,43,1.910526,80,0.066895,0,0.8,1.0,0.986466,0.349926,0.443408,290,9.99736,6262.96,58.71
Macmini2_20170608_DN113_c0_g1_i1,212,0.528302,-0.160714,-0.06,35,2.428805,56,0.050049,0,1.0,1.0,0.992857,0.975502,0.98252,212,2.00746,1720.3,16.13
Macmini2_20170608_DN158_c0_g1_i1,310,0.580645,0.077778,-0.153846,51,1.963731,73,0.072266,0,0.666667,0.983871,0.994805,0.622645,0.954235,310,6.00241,3517.68,32.97
Macmini2_20170608_DN185_c0_g1_i1,203,0.571429,-0.068966,0.103448,35,2.122162,67,0.046387,0,1.0,1.0,0.971429,0.94688,0.974729,203,2.00746,1796.57,16.84
Macmini2_20170608_DN116_c0_g1_i1,217,0.552995,0.0,0.134021,27,1.6275,71,0.049072,0,0.6,1.0,1,0.593246,0.988743,217,5.00367,4189.11,39.27
Macmini2_20170608_DN106_c0_g1_i1,323,0.529412,0.192982,-0.039474,49,2.248792,53,0.073486,0,0.666667,0.98452,0.955844,0.58691,0.935516,323,6.00241,3376.1,31.65
Macmini2_20170608_DN182_c0_g1_i1,276,0.25,0.507246,-0.256039,6,1.873303,27,0.05127,0,0.875,1.0,0.946429,0.52185,0.630158,276,7.99988,5265.83,49.36
Macmini2_20170608_DN126_c0_g1_i1,210,0.666667,-0.257143,0.085714,38,1.743881,70,0.042236,0,1.0,1.0,0.866667,0.858659,0.99076,210,3.0062,2600.7,24.38
Macmini2_20170608_DN166_c0_g1_i1,507,0.583826,0.0,-0.118483,97,2.245206,168,0.080566,0,0.875,1.0,0.910714,0.787398,0.988107,507,7.99988,2866.61,26.87
Macmini2_20170608_DN143_c0_g1_i1,273,0.443223,-0.355372,-0.105263,25,2.134146,35,0.060303,0,1.0,1.0,0.9875,0.928522,0.940275,273,7.99988,5323.7,49.9
Macmini2_20170608_DN127_c0_g1_i1,638,0.652038,0.163462,-0.027027,127,1.924242,212,0.126221,0,0.888889,0.926332,0.955918,0.748911,0.951471,638,17.9873,5121.96,48.01
Macmini2_20170608_DN119_c0_g1_i1,333,0.498498,0.144578,-0.017964,49,2.419125,39,0.078125,0,0.714286,0.960961,0.958242,0.631793,0.960554,333,7.00115,3819.59,35.8
Macmini2_20170608_DN131_c0_g1_i1,1560,0.567949,-0.042889,-0.121662,236,1.879441,467,0.272705,0,0.91,1.0,0.983236,0.825124,0.922189,1560,99.8837,11632.2,109.04
Macmini2_20170608_DN103_c0_g1_i1,278,0.568345,0.037975,-0.066667,40,1.784339,92,0.062988,0,0.833333,0.823741,0.958442,0.590603,0.897678,278,6.00241,3922.59,36.77
Macmini2_20170608_DN142_c0_g1_i1,207,0.415459,0.232558,0.322314,20,2.367067,33,0.047607,0,0.333333,0.942029,0.985714,0.302591,0.977603,207,3.0062,2638.39,24.73
Macmini2_20170608_DN177_c0_g1_i1,436,0.183486,0.45,0.050562,9,3.075235,26,0.069336,0,0.941176,1.0,0.987633,0.316373,0.340356,436,33.967,14153.5,132.67
Macmini2_20170608_DN162_c0_g1_i1,212,0.570755,-0.107438,0.274725,32,1.875069,70,0.046631,0,1.0,1.0,0.985714,0.91005,0.923239,212,3.0062,2576.17,24.15
