contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage
scaffold1,702,0.568376,0.047619,-0.019868,98,1.729992,233,0.124512,0,0.871795,0.998575,0.954887,0.741734,0.89228,702,39.8122,6425.82,96.58
scaffold2,412,0.533981,0.036364,-0.050279,66,2.179245,101,0.087158,3,0.363636,0.978155,0.789369,0.042382,0.150947,412,34.2,9405.42,141.37
scaffold3,366,0.5,0.04918,-0.053892,56,2.346743,86,0.07959,2,0.5,0.931694,0.753061,0.337301,0.96149,366,7.32205,2266.74,34.07
scaffold4,555,0.623423,-0.011561,-0.278846,103,1.906834,184,0.106445,0,0.8125,0.998198,0.953695,0.676168,0.874188,555,15.9735,3261.03,49.01
scaffold5,569,0.530756,-0.072848,0.021277,81,1.917857,166,0.113281,0,0.545455,0.945518,0.97594,0.497621,0.98866,569,10.9849,2187.42,32.88
C1047,100,0.44,0.272727,0.357143,6,1.339286,33,0.02124,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
C1049,100,0.5,0.04,0.08,12,1.923077,33,0.022705,0,0.0,1.0,1,0.01,0.978415,100,2.00541,2272.23,34.15
C1051,100,0.38,-0.105263,0.032258,9,2.521008,33,0.020264,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
C1053,100,0.47,-0.106383,-0.169811,12,2.197802,33,0.022949,0,0.0,1.0,1,0.01,0.985044,100,2.00541,2272.23,34.15
C1055,100,0.56,0.142857,0.181818,19,2.473958,33,0.022949,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
C1057,100,0.51,-0.058824,0.102041,7,1.080247,33,0.023193,0,0,0.0,1,0.01,0.997424,100,0.0,0.0,0.0
C1059,100,0.49,-0.265306,0.607843,14,2.508961,33,0.02002,0,0,1.0,1,0.01,0.982429,100,1.00769,1141.77,17.16
C1061,100,0.35,-0.142857,-0.2,9,3.0,33,0.020752,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
C1063,100,0.6,-0.066667,0.1,18,2.008929,33,0.022705,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
C1065,100,0.42,-0.190476,0.068966,9,2.117647,33,0.022217,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
C1067,100,0.41,-0.121951,-0.118644,10,2.415459,32,0.022949,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
C1069,100,0.3,0.0,-0.171429,6,2.666667,24,0.023193,0,0,1.0,1,0.01,0.997424,100,1.00769,1141.77,17.16
