contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage
TRINITY_DN120_c0_g1_i1,230,0.473913,0.633028,0.404959,13,1.679775,76,0.037354,0,0.666667,0.986957,0.611429,0.398667,0.990964,230,3.00618,2353.87,1.32
TRINITY_DN169_c0_g1_i1,201,0.412935,0.228916,-0.067797,18,2.216912,49,0.045898,0,1.0,1.0,1,0.969515,0.969515,201,3.00618,2693.49,1.51
TRINITY_DN132_c0_g1_i1,214,0.420561,-0.422222,-0.274194,18,2.314904,71,0.04834,0,1.0,1.0,0.980952,0.969076,0.987893,214,3.00618,2529.86,1.42
TRINITY_DN108_c0_g1_i1,225,0.577778,0.076923,-0.157895,37,1.982143,48,0.052246,0,1.0,1.0,1,0.992301,0.992301,225,2.00745,1606.78,0.9
TRINITY_DN188_c0_g1_i1,492,0.556911,-0.051095,-0.137615,80,2.102564,125,0.112305,0,1.0,1.0,1,0.965301,0.965301,492,7.99983,2928.27,1.64
TRINITY_DN187_c0_g1_i1,243,0.534979,-0.061538,0.00885,29,1.674269,75,0.055176,0,0.666667,1.0,1,0.653802,0.980703,243,3.00618,2227.94,1.25
TRINITY_DN114_c0_g1_i1,224,0.772321,0.144509,-0.372549,64,1.956866,74,0.043457,0,0.666667,1.0,0.985714,0.620757,0.944631,224,3.00618,2416.92,1.36
TRINITY_DN100_c0_g1_i1,233,0.643777,0.013333,0.108434,51,2.112909,77,0.054199,0,1.0,1.0,1,0.751293,0.751293,233,3.00618,2323.56,1.3
TRINITY_DN159_c0_g1_i1,243,0.44856,0.119266,0.179104,25,2.074795,80,0.055908,1,0.777778,1.0,0.996639,0.703511,0.907565,243,8.72692,6467.71,3.63
TRINITY_DN167_c0_g1_i1,212,0.570755,-0.008264,0.208791,38,2.201093,70,0.048584,0,1.0,1.0,1,0.992064,0.992064,212,2.00745,1705.31,0.96
TRINITY_DN140_c0_g1_i1,229,0.519651,-0.02521,-0.163636,29,1.877049,76,0.052002,0,0.666667,1.0,0.952381,0.616954,0.971703,229,3.00618,2364.15,1.33
TRINITY_DN151_c0_g1_i1,266,0.601504,-0.1,-0.018868,54,2.267045,43,0.056885,0,1.0,1.0,0.934066,0.861423,0.922229,266,6.75014,4570.11,2.56
TRINITY_DN180_c0_g1_i1,233,0.626609,0.164384,-0.126437,37,1.662681,77,0.053223,0,0.833333,1.0,0.932468,0.718355,0.924456,233,6.00237,4639.41,2.6
TRINITY_DN107_c0_g1_i1,207,0.589372,0.04918,0.152941,41,2.286369,68,0.048096,0,1.0,1.0,1,0.99284,0.99284,207,2.00745,1746.51,0.98
TRINITY_DN128_c0_g1_i1,248,0.58871,-0.068493,-0.039216,40,1.870287,82,0.057129,0,0.5,1.0,0.995238,0.487982,0.980633,248,4.00491,2908.28,1.63
TRINITY_DN115_c0_g1_i1,264,0.371212,0.22449,0.120482,16,1.852632,51,0.059082,0,1.0,1.0,0.982143,0.939848,0.956936,264,4.00491,2732.02,1.53
TRINITY_DN179_c0_g1_i1,305,0.563934,-0.081395,0.052632,42,1.743569,101,0.067139,0,1.0,1.0,1,0.978846,0.978846,305,5.00364,2954.49,1.66
TRINITY_DN199_c0_g1_i1,206,0.398058,0.268293,-0.112903,18,2.376923,68,0.046143,0,1.0,1.0,0.9,0.807068,0.896742,206,4.00491,3501.24,1.96
TRINITY_DN129_c0_g1_i1,229,0.628821,0.111111,0.035294,50,2.236328,75,0.051514,0,1.0,1.0,1,0.959339,0.959339,229,3.00618,2364.15,1.33
TRINITY_DN172_c0_g1_i1,258,0.414729,0.065421,-0.033113,27,2.444211,72,0.05957,0,0.875,1.0,0.9875,0.699511,0.809561,258,7.99983,5584.15,3.13
TRINITY_DN123_c0_g1_i1,266,0.590226,-0.057325,-0.412844,47,2.035493,71,0.058594,0,1.0,1.0,0.992857,0.950034,0.956869,266,4.00491,2711.48,1.52
TRINITY_DN149_c0_g1_i1,203,0.20197,0.317073,0.037037,2,1.074074,12,0.038574,0,1.0,1.0,0.980952,0.937762,0.955971,203,3.00618,2666.95,1.5
TRINITY_DN150_c0_g1_i1,221,0.533937,-0.033898,0.029126,29,1.843256,73,0.049561,0,1.0,1.0,0.982143,0.897325,0.91364,221,4.00491,3263.6,1.83
TRINITY_DN133_c0_g1_i1,338,0.66568,-0.128889,-0.132743,85,2.308372,112,0.06665,0,0.875,1.0,0.919643,0.721707,0.896878,338,7.99983,4262.46,2.39
TRINITY_DN110_c0_g1_i1,297,0.505051,0.013333,-0.115646,35,1.848329,98,0.068115,0,1.0,1.0,1,0.969499,0.969499,297,3.00618,1822.86,1.02
TRINITY_DN165_c0_g1_i1,824,0.565534,0.042918,-0.145251,143,2.174463,243,0.171387,0,0.933333,1.0,0.973333,0.894155,0.984271,824,14.9909,3276.41,1.84
TRINITY_DN186_c0_g1_i1,213,0.502347,0.009346,0.056604,27,2.009434,70,0.048584,0,1.0,1.0,0.992857,0.969021,0.975993,213,2.00745,1697.31,0.95
TRINITY_DN152_c0_g1_i1,240,0.429167,0.106796,0.19708,21,1.922197,35,0.056152,0,1.0,1.0,0.966667,0.9426,0.975103,240,3.00618,2255.79,1.27
TRINITY_DN184_c0_g1_i1,378,0.507937,0.020833,-0.11828,54,2.215805,125,0.084229,0,1.0,0.891534,0.988571,0.862007,0.978059,378,5.27529,2513.33,1.41
TRINITY_DN117_c0_g1_i1,295,0.528814,0.038462,-0.064748,43,2.088066,28,0.067871,0,0.6,1.0,1,0.575201,0.958669,295,5.00364,3054.64,1.71
TRINITY_DN195_c0_g1_i1,217,0.539171,0.111111,-0.16,31,1.990237,72,0.049561,0,1.0,1.0,1,0.977647,0.977647,217,2.00745,1666.02,0.93
TRINITY_DN154_c0_g1_i1,407,0.520885,0.169811,0.107692,45,1.678427,29,0.093262,0,1.0,1.0,0.990476,0.90592,0.914631,407,8.99856,3981.76,2.23
TRINITY_DN197_c0_g1_i1,203,0.571429,-0.068966,0.057471,32,1.940263,67,0.046143,0,1.0,1.0,0.992857,0.983987,0.991066,203,2.00745,1780.92,1.0
TRINITY_DN141_c0_g1_i1,219,0.452055,0.050505,-0.083333,22,1.971358,46,0.050049,0,0.666667,1.0,0.92381,0.595717,0.967272,219,3.00618,2472.1,1.39
TRINITY_DN147_c0_g1_i1,222,0.5,-0.063063,0.081081,22,1.591917,73,0.051758,0,1.0,1.0,1,0.970661,0.970661,222,3.00618,2438.7,1.37
TRINITY_DN144_c0_g1_i1,300,0.603333,-0.071823,0.12605,59,2.172312,100,0.065674,0,0.333333,1.0,0.502521,0.051569,0.30786,300,10.8841,6533.83,3.66
TRINITY_DN125_c0_g1_i1,208,0.514423,0.102804,0.168317,24,1.762712,30,0.048584,0,1.0,1.0,1,0.986985,0.986985,208,2.00745,1738.11,0.97
TRINITY_DN109_c0_g1_i1,214,0.429907,0.369565,0.327869,13,1.522715,57,0.04834,0,1.0,1.0,1,0.990567,0.990567,214,3.00618,2529.86,1.42
TRINITY_DN196_c0_g1_i1,343,0.638484,-0.105023,0.096774,64,1.85124,114,0.078125,0,0.625,1.0,0.838095,0.497187,0.949176,343,8.99856,4724.71,2.65
TRINITY_DN193_c0_g1_i1,305,0.508197,0.058065,0.053333,35,1.783328,49,0.070801,0,1.0,1.0,0.988095,0.940911,0.952248,305,6.00237,3544.21,1.99
