name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
TRINITY_DN120_c0_g1_i1,0.964082,0,641,18,17,17,17,50,0.934664
TRINITY_DN169_c0_g1_i1,1,0,232,3,3,3,3,0,0.980325
TRINITY_DN132_c0_g1_i1,0.995238,0,214,3,3,3,3,0,0.862807
TRINITY_DN108_c0_g1_i1,1,0,211,2,2,2,2,0,0.992237
TRINITY_DN188_c0_g1_i1,0.964977,0,586,16,15,15,15,0,0.925497
TRINITY_DN187_c0_g1_i1,0.968571,0,254,5,5,5,5,0,0.946844
TRINITY_DN114_c0_g1_i1,0.922449,0,290,4,3,3,3,0,0.982085
TRINITY_DN100_c0_g1_i1,0.991071,0,306,8,8,8,8,0,0.80213
TRINITY_DN159_c0_g1_i1,0.994286,0,244,5,5,5,5,0,0.831033
TRINITY_DN167_c0_g1_i1,1,0,219,2,2,2,2,0,0.98685
TRINITY_DN167_c1_g1_i1,0.995918,0,204,4,3,3,3,4,0.94743
TRINITY_DN140_c0_g1_i1,1,0,235,4,4,4,4,0,0.968076
TRINITY_DN151_c0_g1_i1,0.974517,0,495,19,18,18,14,0,0.945735
TRINITY_DN180_c0_g1_i1,0.992857,0,205,2,2,2,2,0,0.974729
TRINITY_DN107_c0_g1_i1,0.95,0,206,2,2,2,1,0,0.938783
TRINITY_DN128_c0_g1_i1,0.978571,0,209,2,2,2,2,0,0.982429
TRINITY_DN115_c0_g1_i1,1,0,261,5,5,5,5,0,0.941049
TRINITY_DN179_c0_g1_i1,0.994286,0,476,5,5,5,5,0,0.98933
TRINITY_DN199_c0_g1_i1,0.990476,0,221,3,3,3,3,0,0.930605
TRINITY_DN129_c0_g1_i1,1,0,266,4,4,4,4,0,0.957771
TRINITY_DN172_c0_g1_i1,0.997143,0,444,5,5,5,5,0,0.98894
TRINITY_DN123_c0_g1_i1,1,0,277,2,2,2,2,0,0.992673
TRINITY_DN149_c0_g1_i1,0.663492,0,308,15,8,8,8,0,0.453197
TRINITY_DN150_c0_g1_i1,1,0,270,3,3,3,3,0,0.937293
TRINITY_DN133_c0_g1_i1,1,0,252,5,5,5,5,0,0.968139
TRINITY_DN110_c0_g1_i1,0.947619,0,216,4,2,2,1,0,0.993868
TRINITY_DN165_c0_g1_i1,0.936735,0,370,8,6,6,6,0,0.963594
TRINITY_DN186_c0_g1_i1,0.994286,0,389,5,5,5,5,0,0.95467
TRINITY_DN152_c0_g1_i1,0.94,0,219,5,5,5,4,0,0.781928
TRINITY_DN184_c0_g1_i1,1,0,378,5,5,5,5,0,0.978783
TRINITY_DN117_c0_g1_i1,0.989286,0,264,4,4,4,4,0,0.968305
TRINITY_DN195_c0_g1_i1,1,0,253,3,3,3,3,0,0.982456
TRINITY_DN154_c0_g1_i1,0.988571,0,692,10,10,10,9,0,0.959661
TRINITY_DN197_c0_g1_i1,1,0,201,2,2,2,2,0,0.978415
TRINITY_DN141_c0_g1_i1,0.998214,0,477,8,8,8,8,0,0.963653
TRINITY_DN147_c0_g1_i1,0.991429,0,507,15,15,15,13,0,0.962943
TRINITY_DN144_c0_g1_i1,0.986264,0,810,26,26,26,23,0,0.903681
TRINITY_DN125_c0_g1_i1,1,0,613,9,9,9,9,0,0.963107
TRINITY_DN145_c0_g1_i1,1,0,416,5,5,5,5,0,0.978486
TRINITY_DN109_c0_g1_i1,1,0,211,2,2,2,2,0,0.992237
TRINITY_DN196_c0_g1_i1,1,0,264,5,5,5,5,0,0.957341
TRINITY_DN193_c0_g1_i1,0.972619,0,585,12,12,12,9,0,0.87694
