contig_name,length,prop_gc,orf_length,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage,sCnuc,sCcov,sCord,sCseg
Macmini1_rcorrtest_DN39_c0_g1_i1,251,0.61753,83,0,0.8,1.0,0.990476,0.775916,0.979221,251,5.0,8326.58,34.6,0.990476,1.0,0.8,0.979221
Macmini1_rcorrtest_DN10_c0_g1_i1,520,0.546154,129,0,0.930556,1.0,0.947923,0.791638,0.897452,520,72.0,57876.1,240.51,0.947923,1.0,0.930556,0.897452
Macmini1_rcorrtest_DN34_c0_g1_i1,558,0.645161,185,0,0.827586,1.0,0.949091,0.636687,0.810597,558,29.0,21723.7,90.27,0.949091,1.0,0.827586,0.810597
Macmini1_rcorrtest_DN28_c0_g1_i1,229,0.58952,75,0,0.5,1.0,0.872527,0.356135,0.816331,229,9.0,16427.7,68.27,0.872527,1.0,0.5,0.816331
Macmini1_rcorrtest_DN2_c0_g1_i1,447,0.534676,70,0,0.954545,1.0,0.96039,0.877648,0.957362,447,22.0,20572.4,85.49,0.96039,1.0,0.954545,0.957362
Macmini1_rcorrtest_DN25_c0_g1_i1,231,0.52381,76,0,0.6,1.0,0.870588,0.489398,0.936911,231,10.0,18095.0,75.19,0.870588,1.0,0.6,0.936911
Macmini1_rcorrtest_DN23_c0_g1_i1,280,0.196429,21,0,0.8,1.0,0.984615,0.64778,0.822377,280,35.0,52249.3,217.13,0.984615,1.0,0.8,0.822377
Macmini1_rcorrtest_DN41_c0_g1_i1,455,0.575824,151,0,0.818182,1.0,0.978397,0.720303,0.899809,455,22.0,20210.7,83.99,0.978397,1.0,0.818182,0.899809
Macmini1_rcorrtest_DN50_c0_g1_i1,349,0.581662,115,0,0.769231,1.0,0.984,0.689347,0.910723,349,13.0,15570.0,64.7,0.984,1.0,0.769231,0.910723
Macmini1_rcorrtest_DN32_c0_g1_i1,222,0.486486,26,0,0.4,1.0,0.930612,0.269469,0.723904,222,5.0,9414.29,39.12,0.930612,1.0,0.4,0.723904
Macmini1_rcorrtest_DN35_c0_g1_i1,213,0.685446,71,0,0.666667,1.0,0.994286,0.654764,0.98779,213,3.0,5887.24,24.46,0.994286,1.0,0.666667,0.98779
Macmini1_rcorrtest_DN51_c0_g1_i1,202,0.717822,67,0,0.571429,1.0,0.888095,0.445898,0.878647,202,7.0,14485.0,60.19,0.888095,1.0,0.571429,0.878647
Macmini1_rcorrtest_DN12_c0_g1_i1,1034,0.318182,115,0,0.931373,1.0,0.980323,0.803563,0.88009,1034,106.306,42974.3,178.58,0.980323,1.0,0.931373,0.88009
Macmini1_rcorrtest_DN12_c0_g2_i1,546,0.305861,67,0,0.918919,1.0,0.978669,0.70254,0.781192,546,79.6938,61010.2,253.53,0.978669,1.0,0.918919,0.781192
Macmini1_rcorrtest_DN11_c0_g1_i1,646,0.520124,146,0,0.810811,1.0,0.952245,0.705892,0.914261,646,37.0,23940.9,99.49,0.952245,1.0,0.810811,0.914261
Macmini1_rcorrtest_DN45_c0_g1_i1,305,0.603279,101,0,0.875,0.996721,0.96381,0.818302,0.97351,305,8.0,10963.8,45.56,0.96381,0.996721,0.875,0.97351
Macmini1_rcorrtest_DN49_c0_g1_i1,209,0.511962,69,0,1.0,1.0,0.995238,0.947218,0.95175,209,3.0,5999.92,24.93,0.995238,1.0,1.0,0.95175
Macmini1_rcorrtest_DN13_c0_g1_i1,290,0.555172,86,0,0.121212,1.0,0.384211,0.01,0.162903,290,33.8392,48774.4,202.69,0.384211,1.0,0.121212,0.162903
Macmini1_rcorrtest_DN13_c1_g1_i1,499,0.635271,166,0,1.0,0.91984,0.974026,0.367374,0.410039,499,11.1608,9349.04,38.85,0.974026,0.91984,1.0,0.410039
Macmini1_rcorrtest_DN0_c0_g1_i1,258,0.682171,86,0,0.777778,1.0,0.97479,0.65969,0.870108,258,9.0,14581.2,60.59,0.97479,1.0,0.777778,0.870108
Macmini1_rcorrtest_DN33_c0_g1_i1,205,0.390244,52,0,1.0,1.0,0.964286,0.905823,0.939372,205,6.0,12234.0,50.84,0.964286,1.0,1.0,0.939372
Macmini1_rcorrtest_DN17_c0_g1_i1,219,0.511416,72,0,0.75,1.0,1,0.702246,0.936328,219,4.0,7634.6,31.73,1,1.0,0.75,0.936328
Macmini1_rcorrtest_DN16_c0_g1_i1,203,0.320197,67,0,0.625,1.0,0.934694,0.505171,0.864747,203,8.0,16472.7,68.45,0.934694,1.0,0.625,0.864747
Macmini1_rcorrtest_DN40_c0_g1_i1,307,0.644951,102,0,0.733333,1.0,0.939683,0.57414,0.833172,307,15.0,20423.2,84.87,0.939683,1.0,0.733333,0.833172
Macmini1_rcorrtest_DN31_c0_g1_i1,294,0.656463,97,0,1.0,1.0,0.997143,0.897692,0.900264,294,5.0,7108.75,29.54,0.997143,1.0,1.0,0.900264
Macmini1_rcorrtest_DN15_c0_g1_i1,295,0.413559,73,0,0.857143,1.0,0.984615,0.793485,0.940197,295,7.0,9918.51,41.22,0.984615,1.0,0.857143,0.940197
Macmini1_rcorrtest_DN53_c0_g1_i1,204,0.642157,67,0,0.75,1.0,0.995918,0.659466,0.882892,204,4.0,8195.97,34.06,0.995918,1.0,0.75,0.882892
Macmini1_rcorrtest_DN6_c0_g1_i1,497,0.569416,165,0,0.541667,0.943662,0.850159,0.323407,0.74422,497,24.0,20184.8,83.88,0.850159,0.943662,0.541667,0.74422
Macmini1_rcorrtest_DN8_c0_g1_i1,204,0.612745,67,0,1.0,1.0,0.953571,0.78149,0.81954,204,4.0,8195.97,34.06,0.953571,1.0,1.0,0.81954
Macmini1_rcorrtest_DN1_c0_g1_i1,368,0.565217,122,0,0.789474,1.0,0.978992,0.715067,0.925188,368,19.0,21581.2,89.68,0.978992,1.0,0.789474,0.925188
Macmini1_rcorrtest_DN36_c0_g1_i1,521,0.295585,128,0,0.827586,1.0,0.984935,0.558863,0.685622,521,29.0,23266.5,96.69,0.984935,1.0,0.827586,0.685622
Macmini1_rcorrtest_DN43_c0_g1_i1,337,0.626113,111,0,0.909091,1.0,0.941497,0.803602,0.93889,337,11.0,13643.7,56.7,0.941497,1.0,0.909091,0.93889
Macmini1_rcorrtest_DN46_c0_g1_i1,243,0.567901,81,0,0.75,1.0,0.995918,0.724338,0.969743,243,4.0,6880.57,28.59,0.995918,1.0,0.75,0.969743
Macmini1_rcorrtest_DN30_c0_g1_i1,206,0.354369,45,0,1.0,1.0,0.990476,0.868033,0.87638,206,6.0,12174.6,50.59,0.990476,1.0,1.0,0.87638
Macmini1_rcorrtest_DN48_c0_g1_i1,968,0.58781,297,0,0.875,1.0,0.970118,0.7327,0.863164,968,56.0,24181.5,100.49,0.970118,1.0,0.875,0.863164
Macmini1_rcorrtest_DN9_c0_g1_i1,382,0.505236,66,0,0.8,1.0,0.954887,0.686794,0.899051,382,20.0,21884.5,90.94,0.954887,1.0,0.8,0.899051
Macmini1_rcorrtest_DN29_c0_g1_i1,263,0.574144,87,0,0.875,1.0,0.994286,0.587255,0.675006,263,8.0,12714.7,52.84,0.994286,1.0,0.875,0.675006
Macmini1_rcorrtest_DN27_c0_g1_i1,269,0.576208,89,0,0.7,1.0,0.978151,0.672562,0.982265,269,10.0,15538.8,64.57,0.978151,1.0,0.7,0.982265
Macmini1_rcorrtest_DN37_c0_g1_i1,227,0.660793,75,0,1.0,1.0,1,0.952411,0.952411,227,5.0,9206.92,38.26,1,1.0,1.0,0.952411
Macmini1_rcorrtest_DN21_c0_g1_i1,235,0.66383,78,0,0.75,1.0,0.991837,0.618965,0.832079,235,8.0,14229.6,59.13,0.991837,1.0,0.75,0.832079
Macmini1_rcorrtest_DN14_c0_g1_i5,548,0.562044,104,0,0.909091,0.501825,0.92381,0.380888,0.903765,548,19.9881,15246.2,63.36,0.92381,0.501825,0.909091,0.903765
Macmini1_rcorrtest_DN14_c0_g1_i1,408,0.563725,135,5,0.5,0.870098,0.856,0.349326,0.938036,408,20.1969,20691.6,85.99,0.856,0.870098,0.5,0.938036
Macmini1_rcorrtest_DN14_c0_g1_i4,452,0.568584,99,15,0.419355,0.964602,0.80967,0.306412,0.935551,452,48.7729,45103.5,187.43,0.80967,0.964602,0.419355,0.935551
Macmini1_rcorrtest_DN14_c0_g1_i3,488,0.557377,145,12,0.568182,0.963115,0.740909,0.347443,0.856945,488,64.9282,55614.0,231.11,0.740909,0.963115,0.568182,0.856945
Macmini1_rcorrtest_DN14_c0_g1_i2,489,0.564417,162,2,0.5,0.844581,0.877143,0.366385,0.989137,489,5.11402,4371.44,18.17,0.877143,0.844581,0.5,0.989137
Macmini1_rcorrtest_DN44_c0_g1_i1,293,0.607509,97,0,0.727273,1.0,0.962406,0.613988,0.877212,293,11.0,15692.6,65.21,0.962406,1.0,0.727273,0.877212
Macmini1_rcorrtest_DN5_c0_g1_i1,393,0.53944,118,0,0.92,1.0,0.969048,0.683512,0.766678,393,25.0,26590.0,110.5,0.969048,1.0,0.92,0.766678
Macmini1_rcorrtest_DN38_c0_g1_i1,230,0.556522,56,0,0.6,1.0,0.95873,0.403692,0.701783,230,5.0,9086.83,37.76,0.95873,1.0,0.6,0.701783
Macmini1_rcorrtest_DN24_c0_g1_i1,277,0.494585,92,0,0.5,1.0,0.951429,0.439238,0.923323,277,6.0,9054.03,37.62,0.951429,1.0,0.5,0.923323
Macmini1_rcorrtest_DN19_c0_g1_i1,257,0.416342,72,0,0.75,1.0,0.982857,0.647998,0.879067,257,8.0,13011.5,54.07,0.982857,1.0,0.75,0.879067
Macmini1_rcorrtest_DN7_c0_g1_i1,429,0.547786,125,0,0.863636,1.0,0.981633,0.582181,0.686717,429,22.0,21435.6,89.08,0.981633,1.0,0.863636,0.686717
