contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage
Macmini1_rcorrtest_DN120_c0_g1_i1,204,0.642157,0.19084,-0.123288,45,2.22061,67,0.046143,0,1.0,1.0,0.985714,0.955649,0.969499,204,2.00745,1782.91,17.09
Macmini1_rcorrtest_DN169_c0_g1_i1,211,0.587678,-0.096774,0.195402,35,1.939338,70,0.048096,0,1.0,1.0,1,0.988547,0.988547,211,2.00745,1723.76,16.53
Macmini1_rcorrtest_DN132_c0_g1_i1,213,0.516432,-0.036364,0.145631,24,1.692155,71,0.04834,0,0.75,1.0,0.989286,0.674597,0.909204,213,4.00492,3406.65,32.66
Macmini1_rcorrtest_DN108_c0_g1_i1,311,0.498392,-0.174194,-0.012821,40,2.135989,103,0.070313,0,1.0,1.0,0.996429,0.789373,0.792202,311,4.00492,2333.17,22.37
Macmini1_rcorrtest_DN188_c0_g1_i1,217,0.502304,-0.229358,-0.074074,25,1.927861,56,0.048096,0,1.0,1.0,0.95,0.894853,0.941951,217,4.00492,3343.86,32.06
Macmini1_rcorrtest_DN187_c0_g1_i1,474,0.421941,0.19,0.182482,40,1.967009,102,0.10498,0,0.75,1.0,0.991837,0.529475,0.711777,474,7.99985,3057.86,29.32
Macmini1_rcorrtest_DN114_c0_g1_i1,208,0.533654,0.063063,0.443299,32,2.169492,69,0.046631,0,1.0,1.0,1,0.970936,0.970936,208,2.00745,1748.62,16.76
Macmini1_rcorrtest_DN100_c0_g1_i1,515,0.63301,0.01227,0.343915,111,2.151892,171,0.100098,0,0.666667,1.0,0.775,0.484104,0.936975,515,22.609,7954.05,76.26
Macmini1_rcorrtest_DN159_c0_g1_i1,229,0.60262,-0.072464,-0.164835,43,2.079181,76,0.050293,0,0.666667,1.0,0.92381,0.554935,0.901054,229,4.00492,3168.63,30.38
Macmini1_rcorrtest_DN167_c0_g1_i1,298,0.583893,0.114943,0.032258,53,2.114607,99,0.064697,0,1.0,1.0,0.951429,0.890722,0.936194,298,5.00365,3042.18,29.17
Macmini1_rcorrtest_DN140_c0_g1_i1,237,0.56962,0.288889,0.137255,31,1.759339,63,0.05542,0,0.833333,1.0,0.971429,0.757043,0.93517,237,6.00238,4588.69,43.99
Macmini1_rcorrtest_DN151_c0_g1_i1,302,0.599338,0.038674,0.123967,58,2.141844,100,0.068359,0,0.833333,1.0,0.758242,0.602067,0.952836,302,8.58622,5151.2,49.38
Macmini1_rcorrtest_DN180_c0_g1_i1,226,0.553097,0.008,0.029703,38,2.198669,75,0.05127,0,0.75,1.0,1,0.639705,0.85294,226,4.00492,3210.69,30.78
Macmini1_rcorrtest_DN107_c0_g1_i1,322,0.65528,-0.080569,0.207207,70,2.038343,107,0.07251,0,1.0,1.0,0.991429,0.961139,0.969448,322,5.00365,2815.43,26.99
Macmini1_rcorrtest_DN128_c0_g1_i1,468,0.602564,-0.06383,0.11828,81,1.914545,156,0.0979,0,0.833333,1.0,0.971429,0.800287,0.98859,468,6.00238,2323.76,22.28
Macmini1_rcorrtest_DN115_c0_g1_i1,215,0.604651,0.030769,-0.270588,40,2.037432,71,0.050049,0,1.0,1.0,1,0.993225,0.993225,215,2.00745,1691.69,16.22
