contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage
TRINITY_DN120_c0_g1_i1,641,0.652106,-0.162679,0.03139,127,1.914333,213,0.126709,0,0.944444,0.921997,0.964082,0.784649,0.934664,641,18.4333,5250.75,2.9
TRINITY_DN169_c0_g1_i1,232,0.517241,0.0,0.125,27,1.74,77,0.053711,0,1.0,1.0,1,0.980325,0.980325,232,3.00616,2365.92,1.31
TRINITY_DN132_c0_g1_i1,214,0.686916,-0.183673,0.164179,54,2.213793,71,0.042969,0,1.0,1.0,0.995238,0.858698,0.862807,214,3.00616,2564.92,1.42
TRINITY_DN108_c0_g1_i1,211,0.421801,-0.191011,0.04918,15,1.658805,70,0.047607,0,1.0,1.0,1,0.992237,0.992237,211,2.00743,1737.14,0.96
TRINITY_DN188_c0_g1_i1,586,0.624573,0.010929,-0.3,105,1.837539,194,0.112061,0,0.9375,1.0,0.964977,0.837266,0.925497,586,15.9896,4982.13,2.76
TRINITY_DN187_c0_g1_i1,254,0.547244,0.05036,0.286957,33,1.739726,84,0.056641,0,1.0,1.0,0.968571,0.917086,0.946844,254,5.0036,3596.87,1.99
TRINITY_DN114_c0_g1_i1,290,0.555172,-0.043478,0.178295,51,2.286642,93,0.0625,0,0.75,1.0,0.922449,0.679442,0.982085,290,4.00488,2521.55,1.39
TRINITY_DN100_c0_g1_i1,306,0.522876,0.1375,0.013699,44,2.14429,67,0.065186,0,1.0,1.0,0.991071,0.794968,0.80213,306,7.99977,4773.45,2.64
TRINITY_DN159_c0_g1_i1,244,0.454918,-0.153153,-0.067669,25,2.027926,43,0.053955,0,1.0,1.0,0.994286,0.826284,0.831033,244,5.0036,3744.29,2.07
TRINITY_DN167_c0_g1_i1,219,0.607306,0.037594,-0.302326,46,2.28125,72,0.04834,0,1.0,1.0,1,0.98685,0.98685,219,2.00743,1673.68,0.93
TRINITY_DN167_c1_g1_i1,204,0.534314,0.247706,-0.010526,23,1.682927,67,0.045166,0,0.75,0.980392,0.995918,0.693796,0.94743,204,4.00488,3584.56,1.98
TRINITY_DN140_c0_g1_i1,235,0.497872,-0.094017,0.220339,25,1.732017,77,0.052979,0,1.0,1.0,1,0.968076,0.968076,235,4.00488,3111.7,1.72
TRINITY_DN151_c0_g1_i1,495,0.331313,0.487805,-0.10574,20,1.932084,42,0.10083,0,0.736842,1.0,0.974517,0.679099,0.945735,495,18.9857,7003.23,3.87
TRINITY_DN180_c0_g1_i1,205,0.702439,0.208333,-0.213115,48,1.984271,68,0.043945,0,1.0,1.0,0.992857,0.967767,0.974729,205,2.00743,1787.98,0.99
TRINITY_DN107_c0_g1_i1,206,0.470874,0.195876,0.211009,29,2.641026,68,0.04541,0,0.5,1.0,0.95,0.445922,0.938783,206,2.00743,1779.3,0.98
TRINITY_DN128_c0_g1_i1,209,0.660287,0.072464,0.211268,43,1.897593,69,0.047607,0,1.0,1.0,0.978571,0.961377,0.982429,209,2.00743,1753.76,0.97
TRINITY_DN115_c0_g1_i1,261,0.59387,-0.006452,0.132075,52,2.25974,87,0.056641,0,1.0,1.0,1,0.941049,0.941049,261,5.0036,3500.41,1.94
TRINITY_DN179_c0_g1_i1,476,0.611345,0.030928,0.156757,97,2.183073,158,0.106934,0,1.0,1.0,0.994286,0.983677,0.98933,476,5.0036,1919.34,1.06
TRINITY_DN199_c0_g1_i1,221,0.588235,0.169231,0.098901,43,2.315546,73,0.047363,0,1.0,1.0,0.990476,0.921742,0.930605,221,3.00616,2483.68,1.37
TRINITY_DN129_c0_g1_i1,266,0.609023,0.061728,0.173077,47,1.912791,88,0.05957,0,1.0,1.0,1,0.957771,0.957771,266,4.00488,2749.06,1.52
TRINITY_DN172_c0_g1_i1,444,0.603604,0.037313,0.238636,69,1.708549,147,0.093018,0,1.0,1.0,0.997143,0.986115,0.98894,444,5.0036,2057.67,1.14
TRINITY_DN123_c0_g1_i1,277,0.574007,-0.006289,0.118644,40,1.753165,73,0.064209,0,1.0,1.0,1,0.992673,0.992673,277,2.36526,1559.1,0.86
TRINITY_DN149_c0_g1_i1,308,0.516234,-0.27044,-0.020134,55,2.891772,82,0.068359,0,0.533333,1.0,0.663492,0.160369,0.453197,308,23.3134,13820.7,7.64
TRINITY_DN150_c0_g1_i1,270,0.503704,-0.161765,-0.238806,42,2.518321,89,0.061035,0,1.0,1.0,1,0.937293,0.937293,270,3.00616,2032.94,1.12
TRINITY_DN133_c0_g1_i1,252,0.515873,-0.153846,0.180328,46,2.810182,51,0.055176,0,1.0,1.0,1,0.968139,0.968139,252,5.0036,3625.42,2.01
TRINITY_DN110_c0_g1_i1,216,0.611111,0.090909,0.142857,29,1.45,71,0.050293,0,0.25,1.0,0.947619,0.235452,0.993868,216,4.00488,3385.42,1.87
TRINITY_DN165_c0_g1_i1,370,0.445946,-0.042424,-0.034146,43,2.341772,56,0.084473,0,0.75,1.0,0.936735,0.676974,0.963594,370,7.99977,3947.77,2.18
TRINITY_DN186_c0_g1_i1,389,0.62982,0.036735,0.013889,81,2.102562,129,0.084473,0,1.0,1.0,0.994286,0.949215,0.95467,389,5.0036,2348.6,1.3
TRINITY_DN152_c0_g1_i1,219,0.634703,0.165468,0.075,39,1.818008,73,0.048828,0,0.8,1.0,0.94,0.58801,0.781928,219,5.0036,4171.72,2.31
TRINITY_DN184_c0_g1_i1,378,0.555556,0.0,0.047619,51,1.748571,125,0.084961,0,1.0,1.0,1,0.978783,0.978783,378,5.0036,2416.95,1.34
TRINITY_DN117_c0_g1_i1,264,0.568182,-0.093333,-0.192982,38,1.799139,87,0.05835,0,1.0,1.0,0.989286,0.957931,0.968305,264,4.00488,2769.89,1.53
TRINITY_DN195_c0_g1_i1,253,0.264822,0.641791,-0.225806,6,2.3,26,0.051025,0,1.0,1.0,1,0.982456,0.982456,253,3.00616,2169.54,1.2
TRINITY_DN154_c0_g1_i1,692,0.648844,0.131403,-0.08642,153,2.137614,230,0.138672,0,0.9,1.0,0.988571,0.853824,0.959661,692,9.99722,2637.85,1.46
TRINITY_DN197_c0_g1_i1,201,0.507463,0.117647,0.191919,30,2.350877,66,0.045898,0,1.0,1.0,1,0.978415,0.978415,201,2.00743,1823.57,1.01
TRINITY_DN141_c0_g1_i1,477,0.63522,0.056106,-0.195402,94,1.959703,159,0.100098,0,1.0,1.0,0.998214,0.961932,0.963653,477,7.99977,3062.21,1.69
TRINITY_DN147_c0_g1_i1,507,0.258383,0.587786,-0.303191,9,1.625,92,0.078857,0,0.866667,1.0,0.991429,0.827398,0.962943,507,14.9908,5398.76,2.99
TRINITY_DN144_c0_g1_i1,810,0.492593,0.012531,-0.192214,105,2.137257,270,0.163574,0,0.884615,1.0,0.986264,0.788429,0.903681,810,25.9768,5855.67,3.24
TRINITY_DN125_c0_g1_i1,613,0.487765,-0.050167,-0.019108,74,2.034718,29,0.138916,0,1.0,1.0,1,0.963107,0.963107,613,8.99849,2680.31,1.48
TRINITY_DN145_c0_g1_i1,416,0.612981,0.07451,-0.068323,90,2.315972,138,0.089844,0,1.0,1.0,1,0.978486,0.978486,416,5.0036,2196.17,1.21
TRINITY_DN109_c0_g1_i1,211,0.488152,0.087379,-0.092593,20,1.603343,70,0.048828,0,1.0,1.0,1,0.992237,0.992237,211,2.00743,1737.14,0.96
TRINITY_DN196_c0_g1_i1,264,0.545455,-0.027778,0.25,36,1.834749,88,0.061279,0,1.0,1.0,1,0.957341,0.957341,264,5.0036,3460.63,1.91
TRINITY_DN193_c0_g1_i1,585,0.538462,-0.174603,-0.348148,76,1.848649,191,0.108887,0,0.75,1.0,0.972619,0.639696,0.87694,585,11.9947,3743.76,2.07
TRINITY_DN168_c0_g1_i1,229,0.641921,0.07483,-0.146341,48,2.046165,76,0.05249,0,1.0,1.0,1,0.969301,0.969301,229,3.00616,2396.91,1.33
TRINITY_DN146_c0_g1_i1,566,0.55477,-0.095541,0.15873,90,2.085653,171,0.120361,7,0.625,0.992933,0.944218,0.552001,0.942036,566,25.9768,8380.02,4.64
TRINITY_DN146_c0_g2_i1,565,0.553982,-0.092652,0.15873,90,2.094144,169,0.120117,0,0,0.0,1,0.01,0.997424,565,0.0,0.0,0.0
TRINITY_DN121_c0_g1_i1,372,0.580645,0.037037,-0.076923,63,2.012019,124,0.083008,0,0.8,1.0,0.974603,0.757594,0.97167,372,5.0036,2455.93,1.36
TRINITY_DN148_c0_g1_i1,261,0.494253,0.162791,0.30303,25,1.611111,86,0.05127,0,0.666667,1.0,0.947619,0.623175,0.986433,261,3.00616,2103.04,1.16
TRINITY_DN171_c0_g1_i1,281,0.451957,0.149606,0.051948,31,2.209792,37,0.0625,0,0.857143,1.0,0.991209,0.680785,0.801293,281,7.00105,4549.18,2.52
TRINITY_DN124_c0_g1_i1,1560,0.567949,-0.042889,-0.121662,236,1.879441,467,0.272705,0,0.90099,1.0,0.989413,0.822087,0.922189,1560,100.881,11807.6,6.53
TRINITY_DN111_c0_g1_i1,241,0.547718,0.030303,-0.229358,33,1.827436,80,0.052979,0,1.0,1.0,1,0.969859,0.969859,241,4.00488,3034.23,1.68
TRINITY_DN104_c0_g1_i1,235,0.480851,0.185841,0.114754,30,2.287476,59,0.054688,0,1.0,1.0,0.980952,0.929327,0.947373,235,3.00616,2335.72,1.29
TRINITY_DN113_c0_g1_i1,227,0.678414,0.077922,-0.123288,57,2.195656,75,0.049316,0,0.666667,1.0,1,0.65962,0.98943,227,3.00616,2418.03,1.34
